start,end,speaker,role,text,voice
0.0,1.47,VICTIM,victim,Hello?,en-IN-PrabhatNeural
2.1,10.23,SCAMMER,scammer,"Ji, namaste madam. This is Rahul calling from the security department of your bank. Am I speaking with Mrs. Sharma?",en-GB-SoniaNeural
11.22,14.04,VICTIM,victim,"Yes, this is she. What's this about?",en-IN-PrabhatNeural
14.59,27.23,SCAMMER,scammer,"Madam, we've detected some suspicious activity on your account. There appear to be multiple failed login attempts from an unknown location. Uh... are you aware of any recent transactions you didn't authorize?",en-GB-SoniaNeural
27.99,33.72,VICTIM,victim,"No, I haven't noticed anything unusual. But... I haven't checked my account in a few days.",en-IN-PrabhatNeural
34.43,49.66,SCAMMER,scammer,"Exactly, madam. That's why we're calling. To prevent any potential fraud, we need to verify your identity and secure your account immediately. For that, I'll need to confirm a few details with you. Can you please confirm your date of birth?",en-GB-SoniaNeural
50.13,55.8,VICTIM,victim,Just a minute... um... why do you need my date of birth? Shouldn't you already have that?,en-IN-PrabhatNeural
56.26,67.08,SCAMMER,scammer,"Madam, for security reasons, we need to cross-verify to ensure we're speaking with the correct account holder. There's been a security breach, and we need to be extra cautious. It's a standard procedure, madam.",en-GB-SoniaNeural
67.8,69.91,VICTIM,victim,"Ok... it's 15th of August, 1978.",en-IN-PrabhatNeural
70.85,83.59,SCAMMER,scammer,"Thank you, madam. Now, I'm sending an OTP to your registered mobile number. Please provide that to me so we can proceed with securing your account. Don’t worry, it’s a standard security measure.",en-GB-SoniaNeural
84.32,90.68,VICTIM,victim,OTP? But I don't feel comfortable giving that over the phone. This sounds a bit fishy.,en-IN-PrabhatNeural
91.58,108.51,SCAMMER,scammer,"Madam, I understand your concern, but this is a genuine attempt to protect your funds. If you don’t provide the OTP, your account could be compromised. Think about it...all your hard earned money at risk. Rahul from the bank is just trying to help.",en-GB-SoniaNeural
108.87,117.51,VICTIM,victim,"No, I... I think I'll just go to the bank branch directly tomorrow and sort this out. I'm not giving you any OTP. Goodbye.",en-IN-PrabhatNeural
